species_ID,family,stern_phylogeny,traditional_hobbs_burrow_category,combined_burrow_category,conspic_color,conspicous_body_color_present,body_color_zg,body_color_Observer1,body_color_Observer2,body_color_Observer3,body_color_Observer4,body_color_Observer5,body_color_Observer6,body_color_Observer7,body_color_Observer8,body_color_Observer9,body_color_Observer10,conspicious_claw_color_present,claw_color,body_color_red,body_color_blue,body_color_orange,body_color_purple,body_color_unpigmented,claw_color_red,claw_color_blue,claw_color_orange,claw_color_purple
Cambarus_harti,Cambaridea,1,primary_burrower,terrestrial_burrower,yes,yes,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,yes,blue,0,1,0,0,0,0,1,0,0
Cherax_quadricarinatus,Parastacidea,1,tertiary_burrower,aquatic_burrower,yes,yes,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,yes,blue,0,1,0,0,0,0,1,0,0
Euastacus_fleckeri,Parastacidea,1,tertiary_burrower,aquatic_burrower,yes,yes,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,yes,blue,0,1,0,0,0,0,1,0,0
Parastacus_defossus,Parastacidea,1,primary_burrower,terrestrial_burrower,no,no,cryptic,cryptic,blue,blue,blue,blue,blue,blue,blue,blue,blue,no,no,0,0,0,0,0,0,0,0,0
Cambarus_gentryi,Cambaridea,1,primary_burrower,terrestrial_burrower,yes,yes,blue,blue,blue,blue,cryptic,blue,blue,blue,blue,blue,blue,yes,blue,0,1,0,0,0,0,1,0,0
Procambarus_pygmaeus,Cambaridea,1,secondary_burrower,terrestrial_burrower,no,no,cryptic,blue,blue,blue,cryptic,blue,blue,blue,blue,blue,blue,no,no,0,0,0,0,0,0,0,0,0
Astacopsis_tricornis,Parastacidea,1,tertiary_burrower,aquatic_burrower,no,no,cryptic,cryptic,blue,blue,cryptic,blue,blue,blue,blue,blue,blue,no,no,0,0,0,0,0,0,0,0,0
Euastacus_valentulus,Parastacidea,1,secondary_burrower,terrestrial_burrower,no,no,cryptic,cryptic,cryptic,cryptic,cryptic,cryptic,cryptic,blue,blue,blue,blue,no,no,0,0,0,0,0,0,0,0,0
Cherax_robustus,Parastacidea,1,secondary_burrower,terrestrial_burrower,yes,yes,blue_purple,blue_purple,blue_purple,blue_purple,cryptic,blue,blue_purple,blue_purple,blue_purple,blue,blue,yes,blue_purple,0,1,0,1,0,0,1,0,1
Euastacus_yigara,Parastacidea,1,primary_burrower,terrestrial_burrower,yes,yes,red,red,red,purple,red,red,red,red,red,blue,blue,yes,red,0,1,0,0,0,1,0,0,0
Engaeus_mallacoota,Parastacidea,1,primary_burrower,terrestrial_burrower,no,no,cryptic,blue,blue,blue,blue,blue,blue,blue,blue,cryptic,blue,no,no,0,0,0,0,0,0,0,0,0
